frame.number	frame.time_epoch	ip.src	ip.dst	tcp.srcport	tcp.dstport	tls.handshake.session_id	tls.record.version	tls.handshake.type	tls.handshake.random	tls.handshake.ciphersuite	tls.handshake.extensions_supported_group	tls.handshake.extensions_key_share_group	tls.handshake.extensions_key_share_key_exchange	tls.handshake.modulus	tls.handshake.exponent	tls.handshake.certificate	tls.handshake.p	tls.handshake.g	tls.handshake.ys	tls.handshake.yc	tls.handshake.server_point	tls.handshake.client_point	tls.handshake.sig	tls.handshake.epms	tls.handshake.epms_len
30	1743638014.042388000	192.168.0.235	216.58.204.67					1	2978339823af7421a13dc30d73732b49f88d0f5029dcd8cd4b7f6940c4cb24db	0x1301,0x1302,0x1303	0x11ec,0x001d,0x0017,0x0018	4588,29	57d8bce2f1b480f2b7deda204d4742251c3db15c990f9a79bf3449c46987b10664e09c82a3012d8fc5881b366cc068b2b52cce0ff11b23e10b90c7ae9f0310649a22c9f8cdb5a31b09cb8d5c69c3c5c37ed6190225556663f6adf5135ebe92cf522778e4408af4fa8bdaa86a1d9c44e66047b6152e89e987522b188337c7773282b00c1c07a8ae4e1baeb2981cd3c3c429ecb616145cc7b4651ff9cbffc8c660d7ca9c3476799484e4099b71f57a17100ff3624410e03199504079836cb82abf12f391a6938a1b2a14646905914a477cb045ba3b6c14a42d228859fb9a1d605123b59a2fee3b6a8339cc058b8e6f6b64d4d4a47803583d83bac9a1a66108253b28438fac41c49997e6265078f99fdf40104e33949a8aaf4bf991b5b18376e23551e76c29ec6afca77de1bab03ccacc0834ac12eaa0c3025cbcc2aee0ab72f50763f5036175f7ad3d481292791c784bae083c14e663a26c7bcafd6c6450f78ecb819b3d5349785b35bbd2a356ac67a1bc2cec0ab038305e3fdc5351805591b057c40c11a4d3b60f8402e9da69cac9a7b96891bf96269297694e123604964b0b9c6e73e33372a20e2744490ce032cd0012e695148b158637c80c0649342b6941756c114fa6110188cb1c9a9fbc11694cbba4ed466f1f797129778bf0a56c82abcb4280878ad23bb81823fce8405a66702ca985ba6652a280a393a24c1fc700c891041f928a57222bf721a0c721a2b128045b354003e14405dcc589153dc8e5b09792335c463cb14b6859854009b50980c684f5d7b496a4bf9471be4e87384dc51d0936ce681c01e7a105f0d89efecc1a1e98048385813d3c4ced3b0d51b38488f2cb5757bbbb672f1156cc5a459cd2b1b921b1480afc8de41c2cd8a7648c040e4f868087275046582606a55aeeba1e961b79c542a4e3e70e81b246975c8cf6dbb40288c9fde45f666429216b208dc22ff75630bc3b6443558d371c78151908c085442b6791a28705479118a12c4d4b02c1b5a476c942625df444535680fd873c30d6c29da6252ce3201673af9853729400686108b577d42b63e970c6b037ead6803a42ce6da261d583452a935a7c26cce5031f9a005ac0c30b705c82d41975262411c0d8b897684e51270995486d9a20bc7ad7573e96745db69590438d6ee1cc25a11af287aa09e54ca27c4142842498b31b31842d413981aad536e24a2e326165c8f18971d79117706c06658c7bbb7ac0c0b5827a5a4373a55a08300868b329587470513afac63289b202cc487b7f228ebb7124ad581b9c2b0d4359c7b07bcc6e0cae3926908839cabe99360a2735688219b46cca74709752298d22545f47986f1cba9451cb92d76a3014ac21a6287721697e269ac9cfa47705b222eb789da2e2a338189864d1153d62a69b5a2f007c5254583bbe808e60997539e13f5c190c172b06eb365c5711bf26d3741a130246e1361090b5f55387a0e69f86aa37b2830c06f33ff1aa4b381b054c324d41f99dac165dbc1774e23882fc3930778468104b9bd05a2e63775eee5a9ec993161770061dca57e1b2aa84171291c69f9c9672c0e1438ff16e399a5292413d10804810900b18eb9cd0a39f4dd1c3961b2925c656ddd682e6cff29059310bdc0d5be0910dc1651cebbadbfc0026e01c4c0dbf066a8f288ac3b8723dfcd23d09bd9dc75fc81521be161cf0e4c0f2e79431ad9b1e3c,506770a90d87aece69e86d73d2ce498e4f815c396607084d54f5dd67d4e97613												
33	1743638014.043448000	192.168.0.235	142.250.187.227					1	112842702f445bd22310a95da17ef0e391748c8bdab38ecd777aa1125f6e41a1	0x1301,0x1302,0x1303	0x11ec,0x001d,0x0017,0x0018	4588,29	943a29fdb830d06839299672a5b5283ec6606b3a6d30e6675ea1619506abbcb5af3cf5c631551d7e893a35917b2095109ea02cec14b3c7f06dbfc32dfb34acd415420efc581ef5804482af86191854f4070210b4a3e8a2ad492720c98b6dcc13903ab1c2621fe0d2c213718530d96febbb2206ac76c676ac2097297ae7b8e6bc16a9161ef1fc9cb3042689c377c194038cc8a251f0095ec039fd617666a99aabea6085274a3909518406b80bfa53aec328514275e0d75b3ae21cc93ab05be23689843087cc9438e0ba11ccbf65ec6b21933c076b13ba518311eb4dd836a66fc9504ba87b836683f1569048e58d0904804c0b0ca02ac1d1420805894f74e1647292a9f6b1c00f768fc02306c3d6878767601836b7e294cdea5750a8539b39989e6fb62e62782e4dc38496356f9220830159b3a4e2b2ba1b943eea3d7ca5a0eab8a1f9b0abfea9063534af5bbb766d7c7ff4e9af55b7c8a2402716d2c56a20686944ccb13a86db8a4254c8b4b61b3d91ba6b23c58489fb6be1e9668f20177e425837a6b955c613c45b3707b05376b27492763c75aa8dddd325b3d52b64c65ec5424573417cce659527a4182d6a18c34238df3180f9016916cbce186c55608c28b5f55ab4ca6c702ba7cfe49e630a65335876960bc33f7902dc3c9b723202ad59c96a25a41eeb77daf99ba6f6375437be241590d12255a23590fda549aa44abc0e6527252c519c88b6a16c3c561c8680c7fa5db33178a739da7753074b6ce7493a3e5a52d547dd4127b729b6848d224f77985eddc571b38b282a661e2f610473237db70679086232603b28857afb3f29915ec6875a1158312806577114843ae4635cff52b61b0b56ee33c3c7447205a6ba4b3b77d34000a5a80c0f7497b24b3cb24c689088694f0978e3f6048a7c6a53b00c6071a4531a28d8fb46c150c97f5e8519102433e88262e40b351a13663f774b6738eb19321d6142c0016b8d1ea36dba910af4bc464f877cd060f29e0a25db85b5f79c180db7f8fc87d1b87abf150a569dba3dd5922107a068f03210b152b15fa031a5b51a59604d6723a4e23b019a55e17c07c684639ad819c725986d3f9bb4340c77dbb40c5733808720836b1a849109d4dc006f3958e24c816a4c8b84e68844ca7bceab93347560601b34da74140eb9827a66abd3842b944819ce6475917463a8b75b6be8627f98b6cacbc3436ab0251401da2104c46447b47d867aa04b9f136aeb7a2c7f566bcf5d0a66ce9c3f7f441c91a4bb15408f296370b521a2dd219704383d1b601bb1ca161850b21992981c6659a43875dc1cf4fb554237c9c5acb77c2200f4a954361f5c2aaa7ae85a24b1a0a4462b97af4c01b0e5acfa57571f1355a6855a9da49bc3f2a12f321918d0726126b93d7b76d1bca19d4a17685c1c5ec8cc4239a8a270b8c4587a7fbb740802c6661eb3ad627042bcc0c0be07be9739f44e21b93b217c6434dd8ba8aa5947b3f39b0ade35f4896446d68930280404476be61e6276988158d592b01297d186ca25dc5a0a2fa38f31b22e05461cc9b63992b15ba05b8d671cc505a9f521c3294fbbd53134a13cccebb7bc51f66014947aaa1aa1b5cd62752fa6aef15373c4542faf27c8efb68a42553e6aeec52b1265ca2aab9b46d210cc601f639dda9af6dbbec6bdfc2f1262a5734d0f8df5e260166f63a4069ea872a62ff317f163ee12639,ee74f2de56534e3a5f3b733c3bfb14696ecbd52f709de99ab55ba715acc61552												
43	1743638014.071146000	192.168.0.235	142.250.200.14					1	00d02342113060b866c6950abf7fb79f4fa94c779342789003f4349ef322094e	0x1301,0x1302,0x1303	0x11ec,0x001d,0x0017,0x0018	4588,29	4a5463ca19a08bf95aa3bb186ad6188ae95d28aa400bd5a4aa6312108339f02828f5b3289eb3aa8e0025bf44c15e2a6ad87693dbf4952e090e452b8e65d5b58d07ab73f88159917e28ea1ffd9cac544261b0d01dda192b7b547165a394df11944c3b7ec0bc7558d3421388711e68409142727b3177b743940fd1ad59146399c4b13da8c31c726a1694b45e53cb36b125bab428ce846943ea0c31886d4ff1980c535686cb8863eb56e3b2aaa751821a9b8124a281a7b05044b1c8858103f9696b0459c6b01b64629c64ffe068d874aae8750ab6d11f1bd48b38e21f62bbbc58a12d89477ea94463c0d68b5c5a3083b64fc1535addd0637887c5cb673380089063371956a629b7637b437c5e8ffc5438b36e594420c6cc28f9673ad9a7c1f5d0214f83a2211a98e19717789507c324b4ad982346423ddcb8c841048e14e5022f14144258083050a74e67133c82bb5bb62fd4c9bd37f94ebd0514e7f7219e1c1415227ee09b7dfea100a4a2caa066a2839a3555eccf3ee749e7b95b3aba882379c145fb9bdbda579d221af2b311d8c736b64ba63a5355d93a9eab1c87a573085d14512d00bdeb6ac8c9a94bf5f04171e1b372533967f26b53c759755c3615380e43acabd3044ef706aa01852098c608c15115c194a02e8026ed343bac1852c0962247290079515c15d65cc1927de5e5895311caa143c76b454921f444ed99644ceb082a61154c152a9629380da9c30f99b52e5884e883b794e02dc1917a70c40515108d51088f10780e3e356bc4d26d31618a70e2c4386a1677d240f88c7ff3744e26ba4f0dd49d074acc23392756476678a42f2123ae89221624844a3eb2a01d145512e623a79a368f835960805672f2498c2c3fa1983d9c5a61c7fc91ca9731b520bf480bbe182b962915ca485bc5b8d31998919fe6fc29bed94b1b68be569238ca3644786b42ef71bc7b51cc8b0acfd0612dafa72df69b7161ca481051747d81aceb16c6d1e8cc47d869de9658cf4a61188ba30491b9d7a8c52e1885de7629899c5db28b2d98da67723938723447c65c2ba5e739c15288f2d94e3c0b121f040cf1dac30cfb752e74552bf4c81e15c5be432873c1483f542f31439e3dc88ff184cc0a1486c894138736a78f3bb9b4c555b7296fd2e6213f7a7f8b723d8b1083a26c405db24df5171636f60d08ca4f4fb45279237f45345a147312d3b87bc7fa76cd72369f0b8bf1968be4176bb3ca01700368687b247baa1fd151c20d1045ad7348de16cb72542ef946ca5626c70918b40d79a2ce09cb702c80efac0eb6c43b29188c807505a501cae90236887b322cabc1f02223ea74cdbe1ab2e0250e02916d518c7b6f180cd5586022cc66dcfa66755b0c56b71c38762957a759a658224173c8117b93b709024ad2a2be8a2afb113bc0fc4d299333d1f1889f2248dbeb7f8d00149d38223e8a099bc60e50fa3966b76e6ba61c3eb740f62846f1946e5f0005e8cb273664a9f0fa5d8ddb6435ac255da05f2c4c1c70f019accb249447bb6973b7c88869b13201cd85897040b112f577401bbbe8da90786cb3e8650d8a575d0df1989cc2b71ed04f74d6729ab003a5ac69eaf957b51ba402758cd3f145b683368b70a647b8c576a82e35a8ec4ec77af214c575c810751e75e1a584b1268c751fff41fb125fa12b0db8953b8ff642e72fc95d844c73bdb427dba84ff1bf5d637f,7d8f0c4da2a927930a0356af9743d98e5773ff3e5d9c54f9a58cd42034646c1a												
49	1743638014.083172000	216.58.204.67	192.168.0.235					2	6727ceeb7ea9a3cd34f4871432a76c1ca8a6845739fb0026a68a02dd34b27a13	0x1301		4588	691f893e436b96424421c0284b9c0bfc3370e6102324bb2f8b5c661f0ebd92100512678e2f955c57da2ef8814bec470f9ae3c6bc91b988f15bce385c12c0c005cfb228a3046411ee3d1ff6296481c39f9ba8c1caa3c7d322cbd8c6151d107aea44fd674fbb2e5d0eebfc3bedb19f97eaecd173e436e9a6e3c7978b5abaaf01d639c9f9150f8a6eeecf3c48974007af0283ddc4b6d6c22e12daf89d9c89b883bad3c49535e0391a8f18a470195e017f25c0d0134beceddc0650c3ba140a1967e7ef43418b0e4cbc02bd7af6d386f27759dfb7b790c72787486d9a8c3212ddf2fc23d7c2840b6c17ccb162d92011858814561f56adef97a6d27fe8e979767dd980e833eb1f7380a39b669766153ed5ca4148c25aaa271ba9a42f8352fa98b4a79eb08adbeb4d74416ef12e87c1bca2c858b0a8b8445d15da4391a2ae9bf00a9239d431d3bca0c55b116b728a30773be96c1f75757e32e6aee3dd32363459a1bcd5449cabc4b65becf6ab0961f1b3b7b9faf707808d75d2186f52f94ca772d4a42a105e38591dfd95fc33a096bec0260479ae3b5ea9d30ed2d585f2708b1072d31e26321e160303957af6665e57690e7eb8a54e3db928cbb400428f5d0716bc6bfc18731da5748154e77f47aa2a1f7b4a442a966e254b4d01b7bed08ac550c8c6e601e3f54962f73d1756dc18f1ae3097d7211bb46d61345e15134bb30e397df7c3f5fdb8700821178950dd72626e6c9e114b397559bf35667754dd44857377a6181e99e78f43593953ee8db7a3964c9c2668da1ab142aa4248965b1b7a60275c309d0ee795e3b9d85238fb8ec0052c6b34c000a60e175f502876568abd3387aec89f1adbaf5c3f86acda66867e6d8bdbce1447f145d178c6ac2f88a7ee874bacd23f41f5c7f887a372f848b2d7f1b11bf72d5e51f440b982a5250d98261fadf609346dc126890f0b67ae30bddb0c576e7067b72d92a28f45bff8dd962956d05a13aa5247c7c993db2085624b166975bf4e7a71643da3622989546cb608cbbfc2698ddcc7da6ed33c88e4b775329593a68b586500e719c6dcf0ac6e4eedb3604f6cf3658db28408e1cbc076bbcf58ef552061dbfe4b1037569f2f12ece943e783744b9e13ca1b303c0cd1696acb2576520a22c2934ea82d9644923b843a6e7d3ad60b728f0ac533aedc34247017370272b5fc2a2816603b7f756ecad677cfa01642514bfb62c9acb5438f8f617a10700f2f47f8de0f97255808b0bef56ac748a9359c0752b54c757fe370ad64e9e7870767e99f44a4fcb7f1c9ad2bc9315e8ca01751d8bf30015c8e4eaa3b0cfd0fc8d4df614d2bac6ae062ccbbd70772da5fe36721849b826014d9fc7344370b631b129bbfb0aec952f772acef8bc2e57b8461d46c89e100e287f1bfdd2de2522423843e87333f3a0235e72da6bdea0974aa0832bc9c267b26e0ee41bc303e043d9a8f4c65036054eabdba6a1c1f99afb2e5e40984ac187e78a4aeb64a3747d19d58e87d240bf211adb5b5412b5de80ba25b0904e4296c694cc433504577776f9495f0e3ce2972704215f695b27b73ce08592e12												
50	1743638014.083238000	216.58.204.67	192.168.0.235					8,20																	
51	1743638014.083358000	216.58.204.67	192.168.0.235					4,4																	
52	1743638014.083769000	192.168.0.235	216.58.204.67					20																	
54	1743638014.085193000	142.250.187.227	192.168.0.235					2	48b01122ebb6f9b1b0a3384967870d4a555e18637647855292159bd32ee61f4c	0x1301		4588	dfc5326679a6bf2a7c2d0109c55da8bc26795e936766057c5c10d80f211e1692a9b765000b4fcc43f1fc3860cce9c02151ecf74ad9b94b6dd171be63e980628d581e694bf703a5f6e3ab1039d1d2bec6617949425d49258194df88c2d7bee5363135c0187989f3326dc22b0267f94d59aebac5a27465ae06ffda020fa1911df2c8d23ed0886504d5e7c2928b6e2a921965cd4398ba2f59dc97dfb793ce2e259ce0ef828de6500a10ad6f3cd0397e1af26ea65dcad664a19f20c9c2fd5a8a463d5aee2f3334b8c310baddbb762e16cfe340fc0df83f6f1b0facd78b982bdfb9c9967da99b7b31bdd4b13c145941dbff141809d2beeaac71cff3c3f8cd7d8d310ec18aeab12d6dd893ae77c50719dcac443fc57e10b9b149cc2bc94db3f451e34612d6f9e59711c764c6417674d892f6adc2e06d74f6573f49029945d73fa54195b44e6d8d25336cc6ef125a320cb8a2e07187325c836d0979504f33bafd0ba7a1fcf5ba8c8389955ff76ed83b474c0f65e38a2ab01ccadaf203211ab70a130f1686d20eb6c8c54a32769a534af8ed29beb580f7a9aaa82ef3bf0b806aa4e21e6e3d01e4277189e172c89aa9c9e8747e54a0d834eda3fa34a59cfdb2f430b86d7b3a4f03536a8b613574462652492634769b1d2b27f6709efb115a1ca163a700b32b5b55cbb5c464236fcbaad020b40567dc712acd355ca223bccbbdf07fd259db77b2e343e0600668c9f834627d00f608a625d57cbe99edad00ac9eeb6f907eacc677b461046ff8e59aea15331d465d791dacdbc95251d53346d4faaedf5437a3b6f887bec5eea4b9c45fe91f67c45c7fc3deabb691aee370bc5d425e0eef15bae29ba172e73f6d223629a731722fd8f2547120c0a754e94828bb6d2ae24b099a3bde97c779d842216c2c0bca41779d8e9795fddb471be41fab274f189fcc90e5b6e4be1d7988fc288e3061dae3d7d8277d4ac80bc35c153b90ad07973ef24f15a37a678e2476d7f1b294f240b1464b3f5ece847f1e470d8c29e35d70605a3e405399f445f42e91b27c5465a4e4a25cf6f7cf3224d1c2698f8e93f29c436c36879046768bec2ec261664254833c27c8e6fd1a8765c29b589fc0dff9ca8cdda3a6a0155408123b3607636075bdf8a36bc7154d8f8db957fd31496090520e9cabbf039afefeee3fc0bbff4ba31e6df301dd7b02292321b325474ae2aa27783a2dbdbea90fe5fc7f427793a519ffe2117abf7fd66bd7cd6f1745a3ed147cf8e8f597c94eff72eba9b8a93021f4d0d06e929090cf7f386ad575274143cf20355e4201abbb3a0dcb28a6c8c4c5da0ae0403f9f6f2a439ed35595fca1077729ab5d0a218767b9bdada522060802f8ecf750e2ab2a57d31bae4ec745ae61e2c7f1954bf9d52500a057c9d24100d3b694f30370a25df6be024909490bb49f626656487f5fb7745c28d6561cc686c32cfa652241ea93692a95de871ba42f02243ef21991e8e695d96cef4a01ee20424e2282e155ef4aeb64288b751dbf9b7de76052bf3708776710156831686ef0acd0e5022a7791eb433c46f05edc2f5569098352b6bf3c												
55	1743638014.085238000	142.250.187.227	192.168.0.235					8,20																	
56	1743638014.085413000	142.250.187.227	192.168.0.235					4,4																	
